Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2008 Mar,5406,155238,56359,6989,37117,31641,17961,98180,27600,13778,57364,39683,7986,57776,2055,6073,6760,1024,250,687,3642,8239,39004,2152,3720,1431,9707,18467,3420,6107,4554,2900,4815,2819,4248,5642,61272,61681,6846,338,736,3889,25079
  2008 Feb,3338,124940,50318,5329,28674,23320,17171,121031,27263,17829,47449,40998,6700,49078,1252,5789,1259,1149,310,640,2439,7661,33006,1672,3992,1554,9093,15670,3226,5948,3348,2137,3954,1795,4112,4834,51188,52457,5365,312,745,1893,22790
  2008 Jan,4126,155708,45984,6090,24635,25851,12927,108486,19817,16342,52973,50432,7252,58365,1701,6211,1045,1147,308,443,2946,8760,36447,1574,3348,1513,8771,14269,3719,5988,3269,2703,8683,2032,5036,4884,47618,82778,8994,426,1015,4407,26267
  2007 Dec,7437,209494,68961,6719,30154,25919,16674,97832,21084,14118,53411,39701,6972,69669,1634,8402,1127,786,410,888,3804,8732,35809,1554,2388,1268,7879,12861,2984,5747,2904,2409,5021,2074,4692,4459,43715,79014,9550,459,1733,6355,27009
  2007 Nov,4139,136473,55020,5042,32059,26309,15333,103906,22638,13742,53784,43965,6886,63189,1584,6006,910,1030,247,496,2700,7665,34509,1730,2570,1267,8322,16252,3072,5930,2897,2462,3814,2431,3463,5389,44803,60543,7968,407,1103,2425,27168
  2007 Oct,3292,215886,58591,4985,36179,36655,14631,83831,23224,14426,51825,33383,7060,59747,1603,5996,542,986,223,617,3014,7980,34968,1655,2974,1213,7217,15364,2734,6468,2579,2422,3258,2434,2806,5157,41158,74693,11456,421,737,3105,29932
  2007 Sep,3656,136054,49733,6099,32523,27135,15574,76181,22902,16276,54186,30265,6428,55188,1486,5906,1465,809,226,555,2468,5148,27391,1540,2204,934,6416,13741,2819,5519,1953,2125,2599,2159,1901,4041,32992,71269,12290,312,725,3009,25251
  2007 Aug,3631,159570,55293,4798,34096,29149,23778,114463,32177,21028,58288,45910,6971,56204,2804,7995,1265,1055,1283,1863,6050,7218,33668,2019,2314,818,11861,13544,6079,7224,1767,2426,3073,3844,1614,4389,38624,62205,11010,603,1322,2712,27176
  2007 Jul,4219,193024,50725,5537,35032,32250,24935,108881,31990,24849,49234,46123,8274,58731,3715,6384,577,1018,1112,1878,6703,6827,39483,2101,2691,730,9451,12388,3073,7568,2494,2582,2734,2123,2045,4963,34682,75658,13648,570,1132,3947,26755
  2007 Jun,5136,180643,59152,5299,35997,29419,23153,77239,25551,16868,41289,38027,6583,80829,2423,5968,628,883,445,905,3347,5279,34838,1219,1530,1053,6130,9677,2476,4540,2003,2577,2197,1391,2088,3251,27594,66784,12414,318,760,3079,19532
  2007 May,3641,155604,51348,5295,42047,30555,14995,85198,25261,14952,38813,34408,6211,97637,1573,7378,415,710,202,618,2794,5916,31180,1272,1981,1042,6783,10999,2568,4623,1541,1673,2408,1294,1882,4001,29540,58832,10160,311,716,2662,20209
  2007 Apr,3265,142560,51360,6838,43107,34500,15553,99136,29338,15343,37962,32219,5640,59244,1448,9160,611,701,261,802,2855,6559,30253,1512,2602,1321,7858,13137,2295,4648,2491,2267,3220,1749,2950,4922,42343,58557,8786,804,962,4785,23581
  2007 Mar,4547,153855,52269,5480,39195,33087,14060,79239,22361,16091,58843,42071,5873,53444,1731,6356,5024,1028,215,775,2730,8756,38849,1729,3325,1644,9755,18555,3218,6252,3000,2636,4152,1991,4515,5056,57788,52493,6605,303,887,4064,24814
  2007 Feb,3471,120382,48175,3749,30588,22575,11969,111934,26025,23307,46920,31464,4527,42507,1216,4797,856,971,290,664,1944,8037,30990,1425,3779,1574,9103,14016,3442,5793,2762,2265,4049,1711,4587,4533,50680,40252,5063,245,643,1923,23138
  2007 Jan,3813,158510,45147,4887,27798,25863,12555,76116,19559,17156,49959,46756,5625,52339,1654,5057,815,1048,328,494,2645,8510,36947,1504,3048,1664,8494,14366,3986,6039,2785,2727,7580,1749,5077,4942,51932,68190,7778,301,962,4164,25050
  2006 Dec,6344,205629,72640,4987,35910,29714,13949,81414,22530,16218,48367,36134,5163,61578,1590,8721,729,805,352,758,2816,8915,35548,1430,2146,1583,6967,11910,3069,5358,2551,2615,4707,1880,4078,4414,47767,63644,7888,369,1508,5257,23626
  2006 Nov,3782,137074,56439,4125,35718,26895,12867,88343,22845,15953,52047,43791,5465,51570,1485,5958,426,915,238,609,2336,7987,35157,1714,2483,1560,7632,15428,2876,6157,2499,2581,3729,2065,3378,5396,45798,49822,7548,282,1093,2650,24016
  2006 Oct,2950,210355,61466,4008,36293,35860,12537,70690,21801,17087,47552,35025,5326,58389,1290,5669,306,910,123,501,2701,5996,29829,1664,2470,1329,7179,14840,2548,6281,2349,2286,2955,1842,2907,5304,40403,61388,10442,273,598,2523,21576
  2006 Sep,3511,136514,46751,3568,29747,26498,12514,63550,20463,15350,51284,29315,5546,49413,1551,5558,1073,801,315,666,2012,4773,29118,1381,1771,1008,6297,12532,2904,5264,1817,1926,2617,1954,1820,4048,32354,59479,12957,224,697,2688,21898
  2006 Aug,3389,164474,51108,3977,29722,27775,17916,103459,30672,23438,62970,44846,6019,49536,2500,6796,705,669,1316,1842,5354,6442,33504,1674,1697,1060,11062,12952,5698,6595,1603,1993,2648,3255,1649,4105,39956,55387,12738,345,1177,2543,24197
  2006 Jul,3822,192166,48104,4643,30567,29003,20816,113127,28265,27109,52407,45685,6175,53121,3320,6078,391,745,853,1785,5445,6967,39092,1729,2581,1009,8889,11095,2842,7156,2253,2432,2229,1703,2049,4228,34275,66485,14742,391,1254,3937,23914
  2006 Jun,4859,167216,56325,3547,29790,28946,17513,71213,23998,17393,43153,36327,6027,67838,2279,5811,446,796,349,812,2994,5043,36431,1192,1483,1104,6104,9356,2566,4280,1695,2134,2119,1546,2022,2831,26150,60988,12559,238,667,2805,18010
  2006 May,2955,146039,49755,3678,39995,30587,11755,78594,24008,15410,42907,34236,5155,80687,1611,5354,340,746,170,467,2067,5905,30705,1193,1300,1077,6787,10865,2516,4413,1426,1431,2900,1296,1875,3775,28329,51237,9736,204,542,2697,19456
  2006 Apr,3457,147235,51480,4699,37713,37862,12993,97423,28836,17657,41269,31780,5014,53531,1251,8626,350,747,203,754,2094,6407,28940,1571,2094,1281,7712,16067,2543,4729,2334,2055,2982,1463,2920,4909,41733,63480,10618,253,1176,4175,22238
  2006 Mar,4075,141056,52980,3615,31939,32483,11863,91092,21726,16227,62353,36144,4865,50070,1457,5396,3620,788,210,482,2251,8255,36044,1500,2710,1889,7748,18964,2859,6014,2538,2250,3057,1587,4138,4614,54953,53965,6317,197,678,3275,21741
  2006 Feb,3177,122336,44419,2658,25592,26200,10794,96562,22743,17723,44695,40835,4459,40083,1218,4610,537,1202,226,329,1602,7818,32611,1569,3550,1723,7646,14776,2673,5862,2802,2162,2498,1421,4323,4245,50705,42262,5485,177,671,2261,18918
  2006 Jan,3010,152123,42836,3153,23133,24544,9588,81734,23587,19898,45402,40604,4551,43086,974,4705,427,1024,280,544,2341,8896,32807,1483,2760,1680,6175,12340,2563,6065,2273,2760,5233,1220,4365,4011,45913,63495,9035,198,822,3677,22593
