Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2021 May,48,1800,844,720,745,163,147,7388,276,178,281,170,32,84,0,5,0,48,0,2,42,27,254,26,17,16,83,57,16,36,15,6,17,6,6,23,92,250,32,5,4,9,220
  2021 Apr,80,3278,1442,1176,789,246,239,9056,221,302,797,271,1700,3729,13,165,4,62,0,7,59,50,563,26,23,11,174,114,58,79,43,10,35,35,29,49,136,242,39,6,3,12,364
  2021 Mar,119,3032,1530,964,1112,178,363,8892,245,316,601,405,2736,4193,30,238,8,30,0,1,67,77,423,14,30,15,147,135,73,58,23,12,53,25,50,53,168,274,28,8,3,8,465
  2021 Feb,84,2176,1130,905,880,179,286,4498,245,231,358,385,1203,3215,14,107,4,11,5,7,58,76,387,22,23,17,204,146,70,98,31,14,42,33,19,77,146,234,31,6,1,8,475
  2021 Jan,108,2625,1255,1223,763,221,553,6599,288,325,555,431,1027,3946,25,172,4,28,0,11,70,87,509,24,49,45,402,194,193,106,45,16,40,58,37,51,111,579,63,6,4,10,508
  2020 Dec,170,4204,1405,716,1175,323,803,7657,510,244,712,437,267,2252,37,90,6,49,1,2,93,71,515,14,18,12,166,172,60,89,16,17,61,30,21,63,290,887,106,13,2,15,379
  2020 Nov,104,3121,1270,472,710,195,566,4007,313,146,763,279,65,500,18,46,8,37,0,11,48,62,414,10,27,17,122,114,37,76,15,13,36,30,15,50,267,438,38,6,5,13,265
  2020 Oct,120,2424,1415,331,1076,229,759,3169,300,152,513,277,52,428,28,34,2,27,0,11,73,47,407,16,19,18,213,121,66,77,16,10,30,22,24,77,205,223,63,6,4,14,301
  2020 Sep,91,1428,1063,244,360,260,310,2422,291,128,353,215,36,394,22,32,6,13,3,3,69,45,356,12,25,21,190,78,39,41,33,24,24,44,9,43,253,155,63,10,0,10,282
  2020 Aug,8,1027,718,155,480,206,230,2163,342,113,511,317,35,581,42,36,11,16,6,5,44,39,400,15,24,45,240,133,36,41,25,8,41,28,23,49,239,166,12,12,0,21,269
  2020 Jul,14,793,626,52,400,243,169,958,333,115,565,262,3,634,24,18,0,40,0,2,75,49,360,19,11,5,90,74,45,46,9,18,28,29,12,47,278,131,27,4,0,10,225
  2020 Jun,1,301,464,8,128,158,40,118,68,34,137,48,11,130,3,3,0,4,0,0,19,10,130,3,1,0,21,19,8,9,5,1,35,2,1,12,77,63,3,0,0,7,89
  2020 May,0,196,157,7,65,138,11,23,2,4,30,8,1,79,1,5,0,4,0,1,1,0,34,3,0,0,2,7,2,0,3,0,7,1,2,3,17,16,1,0,1,0,48
  2020 Apr,3,208,96,6,32,153,5,18,13,2,25,9,4,87,0,2,0,0,0,1,2,0,13,0,0,2,5,2,1,1,1,2,7,0,0,0,18,7,1,0,0,0,24
  2020 Mar,514,46499,14887,4762,11860,2898,5390,1488,5315,1419,11611,1198,3738,17848,285,1660,8,211,16,44,587,2414,10408,819,1206,1179,5464,14758,1238,2903,857,653,3707,1306,1486,2326,20614,18736,2127,69,62,854,14577
  2020 Feb,1764,115351,40829,8018,32073,24667,19791,6222,12808,16922,53425,16195,6054,52946,742,3591,518,1377,125,407,2268,9146,37568,2444,4082,4009,18495,39857,7492,6637,3188,1483,9135,3892,4539,7352,49475,54791,6185,302,228,1723,44850
  2020 Jan,5364,282144,90720,11341,49522,34152,46350,329047,38681,42608,57234,70277,11631,99643,1774,6236,493,2958,1127,3007,4178,15044,72577,2704,3835,3713,16613,40228,10661,7940,3262,2487,15880,4872,6982,8648,61634,130626,15141,584,1185,4659,70340
