YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,EW9,11161,11056
2024-12,WEEKDAY,8,TRAIN,NS27/CE2/TE20,1343,23087
2024-12,WEEKDAY,8,TRAIN,BP10,7118,2678
2024-12,WEEKDAY,16,TRAIN,PW5,2255,3089
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,BP10,1505,1793
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,PW6,1004,521
2024-12,WEEKDAY,15,TRAIN,CC3,8828,6892
2024-12,WEEKDAY,20,TRAIN,TE27,2386,7286
2024-12,WEEKDAY,0,TRAIN,PE5,57,1198
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,BP13,148,399
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,SW2,3915,2546
2024-12,WEEKDAY,23,TRAIN,TE13,1546,872
2024-12,WEEKDAY,14,TRAIN,EW24/NS1,66351,65394
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,EW4,6195,5998
2024-12,WEEKDAY,17,TRAIN,CE1/DT16,54548,52268
2024-12,WEEKDAY,19,TRAIN,NS17/CC15,25076,36040
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,CE1/DT16,6130,10095
2024-12,WEEKDAY,9,TRAIN,EW33,3864,4349
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,TE16,2431,4778
2024-12,WEEKDAY,10,TRAIN,BP2,3158,1006
2024-12,WEEKENDS/HOLIDAY,20,TRAIN,BP7,200,549
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,NS15,6553,5208
2024-12,WEEKDAY,8,TRAIN,NS20,28778,131798
2024-12,WEEKENDS/HOLIDAY,14,TRAIN,PE1,1640,1631
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,EW1,15838,9640
2024-12,WEEKDAY,11,TRAIN,TE29,3455,1294
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,CC28,2341,1258
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,EW14/NS26,12396,11188
2024-12,WEEKDAY,16,TRAIN,EW6,8881,12405
2024-12,WEEKDAY,9,TRAIN,CC4/DT15,3889,62906
2024-12,WEEKDAY,8,TRAIN,SE2,14813,2533
2024-12,WEEKDAY,14,TRAIN,PE3,5377,5986
2024-12,WEEKDAY,8,TRAIN,NE11,27272,24544
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,CC25,588,1100
2024-12,WEEKDAY,11,TRAIN,EW33,2879,1800
2024-12,WEEKDAY,22,TRAIN,CC7,3946,7250
2024-12,WEEKDAY,6,TRAIN,TE18,862,2625
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,PE3,3473,2142
2024-12,WEEKDAY,15,TRAIN,SE4,2923,3321
2024-12,WEEKDAY,23,TRAIN,BP4,83,406
2024-12,WEEKDAY,20,TRAIN,CC28,1865,5896
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,TE19,568,1718
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,TE23,1407,1019
2024-12,WEEKDAY,6,TRAIN,EW12/DT14,11456,15693
2024-12,WEEKDAY,22,TRAIN,CC6,16164,3549
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,BP13,74,317
2024-12,WEEKDAY,18,TRAIN,NE13,31732,53409
2024-12,WEEKDAY,7,TRAIN,CC19/DT9,5281,8539
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,NS7,19520,17384
2024-12,WEEKDAY,22,TRAIN,PW6,207,1485
2024-12,WEEKDAY,22,TRAIN,PE2,838,6342
2024-12,WEEKDAY,21,TRAIN,NS25/EW13,93860,19779
2024-12,WEEKDAY,16,TRAIN,DT18,16634,7516
2024-12,WEEKENDS/HOLIDAY,18,TRAIN,CC20,2309,2797
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,TE24,1330,1828
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,EW28,3365,223
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,SW2,42,200
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,NS17/CC15,15106,7142
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,EW14/NS26,13414,3040
2024-12,WEEKDAY,16,TRAIN,SE3,2246,3186
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,DT22,9845,8994
